ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2017,8,17,9,3,0,0.00,1,1.00,2,2.00,0,0.00,0,0.00,3,3.00
2017,8,31,14,3,0,0.00,1,4.00,0,0.00,0,0.00,0,0.00,1,4.00
2017,8,31,15,3,0,0.00,1,4.00,0,0.00,0,0.00,0,0.00,1,4.00
2017,9,6,14,2,0,0.00,1,2.00,0,0.00,0,0.00,0,0.00,1,2.00
2017,9,11,15,0,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2017,9,11,16,0,0,0.00,16,26.00,0,0.00,0,0.00,0,0.00,16,26.00
2017,9,11,17,0,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2017,9,13,9,2,0,0.00,0,0.00,19,26.00,0,0.00,0,0.00,19,26.00
2017,9,13,10,2,0,0.00,2,3.00,146,308.00,0,0.00,0,0.00,148,311.00
2017,9,13,11,2,0,0.00,0,0.00,228,542.00,0,0.00,0,0.00,228,542.00
2017,9,13,13,2,0,0.00,0,0.00,180,434.00,0,0.00,0,0.00,180,434.00
2017,9,13,14,2,0,0.00,1,1.00,218,521.00,0,0.00,0,0.00,219,522.00
2017,9,13,15,2,0,0.00,0,0.00,222,515.00,0,0.00,0,0.00,222,515.00
2017,9,13,16,2,0,0.00,0,0.00,147,424.00,0,0.00,0,0.00,147,424.00
2017,9,13,17,2,0,0.00,0,0.00,62,187.00,0,0.00,0,0.00,62,187.00
2017,9,14,15,3,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2017,9,18,8,0,0,0.00,1,2.00,0,0.00,0,0.00,0,0.00,1,2.00
2017,9,18,14,0,0,0.00,0,0.00,35,66.00,0,0.00,0,0.00,35,66.00
2017,9,19,15,1,0,0.00,1,4.00,0,0.00,0,0.00,0,0.00,1,4.00
2017,9,21,12,3,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2017,9,21,15,3,0,0.00,1,2.00,0,0.00,0,0.00,0,0.00,1,2.00
2017,9,22,11,4,0,0.00,0,0.00,0,0.00,1,2.00,0,0.00,1,2.00
2017,9,22,13,4,0,0.00,1,1.00,0,0.00,1,2.00,0,0.00,2,3.00
2017,9,22,14,4,0,0.00,0,0.00,0,0.00,3,6.00,0,0.00,3,6.00
2017,9,22,16,4,0,0.00,0,0.00,0,0.00,6,6.00,0,0.00,6,6.00
2017,9,23,9,5,0,0.00,0,0.00,0,0.00,2,4.00,0,0.00,2,4.00
2017,9,23,10,5,0,0.00,1,2.00,0,0.00,2,4.00,0,0.00,4,8.00
2017,9,23,11,5,0,0.00,0,0.00,0,0.00,1,2.00,0,0.00,1,2.00
2017,9,23,12,5,0,0.00,0,0.00,7,11.00,0,0.00,0,0.00,7,11.00
2017,9,25,8,0,0,0.00,3,9.00,69,168.00,3,8.00,0,0.00,75,185.00
2017,9,25,9,0,0,0.00,7,15.00,186,433.00,8,18.00,0,0.00,201,466.00
2017,9,25,10,0,0,0.00,7,17.00,200,438.00,7,16.00,0,0.00,214,471.00
2017,9,25,11,0,0,0.00,8,8.00,131,289.00,3,5.00,0,0.00,142,302.00
2017,9,25,12,0,0,0.00,5,9.00,100,207.00,7,14.00,0,0.00,112,230.00
2017,9,25,13,0,0,0.00,14,17.00,173,391.00,6,11.00,0,0.00,194,420.00
2017,9,25,14,0,0,0.00,10,15.00,205,465.00,7,15.00,0,0.00,222,495.00
2017,9,25,15,0,0,0.00,13,18.00,202,473.00,7,16.00,0,0.00,222,507.00
2017,9,25,16,0,0,0.00,7,13.00,169,381.00,5,11.00,0,0.00,181,405.00
2017,9,25,17,0,0,0.00,7,9.00,63,125.00,1,1.00,0,0.00,71,135.00
2017,9,26,8,1,0,0.00,14,28.00,91,217.00,4,11.00,0,0.00,109,256.00
2017,9,26,9,1,0,0.00,7,12.00,154,355.00,7,18.00,0,0.00,168,385.00
2017,9,26,10,1,0,0.00,12,18.00,162,338.00,12,26.00,0,0.00,186,382.00
2017,9,26,11,1,0,0.00,11,13.00,132,288.00,9,18.00,0,0.00,152,319.00
2017,9,26,12,1,0,0.00,14,28.00,74,154.00,9,18.00,0,0.00,97,200.00
2017,9,26,13,1,0,0.00,11,22.00,141,326.00,20,41.00,0,0.00,172,389.00
2017,9,26,14,1,0,0.00,16,30.00,207,479.00,11,24.00,0,0.00,234,533.00
2017,9,26,15,1,0,0.00,7,13.00,176,375.00,7,20.00,0,0.00,190,408.00
2017,9,26,16,1,0,0.00,12,19.00,136,299.00,7,16.00,0,0.00,155,334.00
2017,9,26,17,1,0,0.00,2,3.00,50,104.00,5,10.00,0,0.00,57,117.00
2017,9,27,8,2,0,0.00,10,24.00,57,137.00,6,18.00,0,0.00,73,179.00
2017,9,27,9,2,0,0.00,9,15.00,133,299.00,2,4.00,0,0.00,144,318.00
2017,9,27,10,2,0,0.00,10,15.00,134,293.00,21,42.00,0,0.00,165,350.00
2017,9,27,11,2,0,0.00,10,13.00,107,227.00,19,37.00,0,0.00,136,277.00
2017,9,27,12,2,0,0.00,14,20.00,95,214.00,6,14.00,0,0.00,115,248.00
