ano,mes,dia,hora,Dia_semana,QTD_Tags,R$_Tags
2016,7,20,14,2,1,0.1700
2016,7,21,8,3,1,0.1700
2016,7,21,11,3,1,0.6800
2016,7,21,12,3,1,0.3400
2016,7,21,15,3,1,1.3400
2016,7,22,8,4,3,0.8500
2016,7,22,9,4,16,26.8600
2016,7,22,10,4,14,17.6300
2016,7,22,11,4,18,15.3500
2016,7,22,12,4,12,8.6100
2016,7,22,13,4,11,6.5700
2016,7,22,14,4,27,26.9000
2016,7,22,15,4,29,35.5800
2016,7,22,16,4,23,13.5000
2016,7,22,17,4,17,10.3100
2016,7,23,7,5,1,6.2100
2016,7,23,8,5,2,3.3400
2016,7,23,9,5,20,22.8600
2016,7,23,10,5,21,15.8400
2016,7,23,11,5,22,14.5200
2016,7,25,7,0,2,3.1900
2016,7,25,8,0,11,21.8200
2016,7,25,9,0,25,40.5500
2016,7,25,10,0,26,18.3300
2016,7,25,11,0,37,33.5100
2016,7,25,12,0,33,26.7500
2016,7,25,13,0,29,38.8300
2016,7,25,14,0,47,52.7800
2016,7,25,15,0,53,46.9900
2016,7,25,16,0,38,32.4900
2016,7,25,17,0,34,21.7500
2016,7,26,7,1,1,3.6800
2016,7,26,8,1,12,20.2700
2016,7,26,9,1,34,48.0600
2016,7,26,10,1,47,46.7200
2016,7,26,11,1,67,68.3700
2016,7,26,12,1,39,43.0000
2016,7,26,13,1,35,38.3200
2016,7,26,14,1,37,35.3200
2016,7,26,15,1,65,69.1600
2016,7,26,16,1,50,37.5300
2016,7,26,17,1,46,27.8300
2016,7,27,6,2,1,1.6800
2016,7,27,7,2,1,0.5100
2016,7,27,8,2,14,18.5200
2016,7,27,9,2,37,32.9600
2016,7,27,10,2,41,55.0000
2016,7,27,11,2,61,63.3000
2016,7,27,12,2,58,42.3500
2016,7,27,13,2,37,30.1300
2016,7,27,14,2,62,74.5100
2016,7,27,15,2,70,87.1100
2016,7,27,16,2,59,62.6500
2016,7,27,17,2,47,27.9100
2016,7,28,7,3,1,0.3400
2016,7,28,8,3,14,23.2200
2016,7,28,9,3,49,50.3100
2016,7,28,10,3,57,71.1700
2016,7,28,11,3,79,84.4800
2016,7,28,12,3,65,47.0300
2016,7,28,13,3,36,34.1900
2016,7,28,14,3,59,56.6300
2016,7,28,15,3,68,80.2400
2016,7,28,16,3,69,55.0700
2016,7,28,17,3,55,31.9100
2016,7,29,7,4,4,10.5700
2016,7,29,8,4,50,71.0900
2016,7,29,9,4,56,57.5200
2016,7,29,10,4,81,81.0600
2016,7,29,11,4,64,61.5200
2016,7,29,12,4,45,37.4900
2016,7,29,13,4,65,74.1300
2016,7,29,14,4,79,74.5300
2016,7,29,15,4,80,77.3800
2016,7,29,16,4,66,56.8600
2016,7,29,17,4,45,24.9800
2016,7,30,5,5,1,0.3400
2016,7,30,8,5,35,33.8100
2016,7,30,9,5,69,61.5600
2016,7,30,10,5,77,73.7700
2016,7,30,11,5,60,36.1600
2016,8,1,7,0,5,14.9300
2016,8,1,8,0,39,59.0200
2016,8,1,9,0,76,77.2600
2016,8,1,10,0,103,94.0300
2016,8,1,11,0,62,44.8600
2016,8,1,12,0,51,46.1800
2016,8,1,13,0,85,94.4000
2016,8,1,14,0,107,88.7300
2016,8,1,15,0,65,38.6700
2016,8,1,16,0,3,2.5100
2016,8,2,7,1,3,12.2700
2016,8,2,8,1,63,68.7700
2016,8,2,9,1,71,64.0000
2016,8,2,10,1,89,72.8300
2016,8,2,11,1,78,66.1500
2016,8,2,12,1,63,48.1100
2016,8,2,13,1,80,80.2300
2016,8,2,14,1,105,92.9000
2016,8,2,15,1,98,91.4600
2016,8,2,16,1,80,58.8100
2016,8,2,17,1,69,38.9900
2016,8,3,6,2,1,4.8500
2016,8,3,7,2,5,9.7000
2016,8,3,8,2,62,81.0300
2016,8,3,9,2,110,128.8200
2016,8,3,10,2,113,112.1700
2016,8,3,11,2,72,48.8100
2016,8,3,12,2,48,31.1900
2016,8,3,13,2,115,142.8800
2016,8,3,14,2,106,88.8400
2016,8,3,15,2,104,85.0500
2016,8,3,16,2,85,78.8700
2016,8,3,17,2,58,32.2500
2016,8,4,7,3,5,17.4000
2016,8,4,8,3,57,81.0700
2016,8,4,9,3,106,115.7500
2016,8,4,10,3,115,96.2200
2016,8,4,11,3,88,68.6100
2016,8,4,12,3,59,60.2600
2016,8,4,13,3,115,127.8400
2016,8,4,14,3,100,95.2400
2016,8,4,15,3,98,81.2000
2016,8,4,16,3,76,68.0400
2016,8,4,17,3,67,39.5600
2016,8,5,6,4,1,2.1700
2016,8,5,7,4,5,23.2900
2016,8,5,8,4,71,70.2500
2016,8,5,9,4,120,111.7800
2016,8,5,10,4,142,134.0800
2016,8,5,11,4,98,72.4600
2016,8,5,12,4,93,77.1800
2016,8,5,13,4,130,144.2600
2016,8,5,14,4,127,138.3900
2016,8,5,15,4,130,115.1200
2016,8,5,16,4,92,72.9300
2016,8,5,17,4,69,44.0500
2016,8,6,6,5,1,0.3400
2016,8,6,7,5,1,0.1700
2016,8,6,8,5,39,54.4200
2016,8,6,9,5,101,87.4200
2016,8,6,10,5,100,108.3400
2016,8,6,11,5,83,55.7700
2016,8,8,7,0,6,10.0600
2016,8,8,8,0,64,80.1500
2016,8,8,9,0,105,103.6900
2016,8,8,10,0,95,75.5200
2016,8,8,11,0,103,88.5600
2016,8,8,12,0,85,71.1900
2016,8,8,13,0,121,127.9100
2016,8,8,14,0,141,141.6800
2016,8,8,15,0,125,125.2800
2016,8,8,16,0,95,66.8000
2016,8,8,17,0,88,49.6400
2016,8,9,6,1,1,3.1700
2016,8,9,7,1,7,16.9100
2016,8,9,8,1,84,102.1900
2016,8,9,9,1,112,126.0800
2016,8,9,10,1,114,83.3400
2016,8,9,11,1,93,71.5700
2016,8,9,12,1,86,88.2500
2016,8,9,13,1,141,141.3600
2016,8,9,14,1,140,138.5200
2016,8,9,15,1,125,93.2300
2016,8,9,16,1,115,89.1300
2016,8,9,17,1,83,46.8700
2016,8,10,7,2,4,13.4000
2016,8,10,8,2,79,96.1700
2016,8,10,9,2,117,141.7200
2016,8,10,10,2,146,153.2600
2016,8,10,11,2,105,84.4400
2016,8,10,12,2,84,65.8700
2016,8,10,13,2,134,143.5800
2016,8,10,14,2,138,160.7500
2016,8,10,15,2,124,123.9100
2016,8,10,16,2,102,77.7500
2016,8,10,17,2,103,61.8200
2016,8,11,7,3,7,9.5700
2016,8,11,8,3,62,61.0900
2016,8,11,9,3,113,110.0700
2016,8,11,10,3,155,119.3200
2016,8,11,11,3,65,66.0500
2016,8,11,12,3,76,86.0400
2016,8,11,13,3,150,155.9300
2016,8,11,14,3,129,119.3100
2016,8,11,15,3,126,149.7000
2016,8,11,16,3,96,74.6500
2016,8,11,17,3,107,68.2200
2016,8,12,7,4,4,2.3800
2016,8,12,8,4,60,66.1700
2016,8,12,9,4,97,92.5000
2016,8,12,10,4,133,124.5700
2016,8,12,11,4,107,85.9400
2016,8,12,12,4,101,74.9700
2016,8,12,13,4,140,143.1500
2016,8,12,14,4,175,161.3900
2016,8,12,15,4,147,127.7900
2016,8,12,16,4,127,90.6800
2016,8,12,17,4,102,63.9700
2016,8,13,2,5,1,3.1700
2016,8,13,7,5,5,5.0400
2016,8,13,8,5,51,52.7600
2016,8,13,9,5,126,138.4000
2016,8,13,10,5,131,130.1000
2016,8,13,11,5,94,60.9500
2016,8,15,7,0,13,19.1000
2016,8,15,8,0,72,77.3900
2016,8,15,9,0,124,104.7400
2016,8,15,10,0,148,137.6400
2016,8,15,11,0,102,76.7800
2016,8,15,12,0,89,78.3700
2016,8,15,13,0,125,143.3900
2016,8,15,14,0,147,144.2200
2016,8,15,15,0,124,103.2100
2016,8,15,16,0,124,92.6200
2016,8,15,17,0,114,59.3900
2016,8,16,6,1,3,6.5500
2016,8,16,7,1,9,24.9700
2016,8,16,8,1,70,70.8600
2016,8,16,9,1,131,120.0600
2016,8,16,10,1,127,125.6500
2016,8,16,11,1,97,77.4800
2016,8,16,12,1,80,62.6600
2016,8,16,13,1,126,133.4600
2016,8,16,14,1,128,129.4200
2016,8,16,15,1,121,103.4400
2016,8,16,16,1,138,89.3600
2016,8,16,17,1,105,57.6100
2016,8,17,7,2,10,19.6300
2016,8,17,8,2,68,84.6000
2016,8,17,9,2,121,134.3500
2016,8,17,10,2,137,114.9500
2016,8,17,11,2,99,68.1600
2016,8,17,12,2,85,70.7000
2016,8,17,13,2,123,146.5200
2016,8,17,14,2,137,131.6700
2016,8,17,15,2,133,105.0500
2016,8,17,16,2,107,71.3700
2016,8,17,17,2,116,54.2400
2016,8,18,6,3,1,0.1700
2016,8,18,7,3,8,25.3100
2016,8,18,8,3,65,60.7700
2016,8,18,9,3,119,110.5500
2016,8,18,10,3,133,114.5200
2016,8,18,11,3,113,109.8100
2016,8,18,12,3,79,66.2900
2016,8,18,13,3,128,120.8100
