ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2016,3,3,16,3,0,0.00,0,0.00,1,3.00,0,0.00,0,0.00,1,3.00
2016,3,3,18,3,0,0.00,0,0.00,38,87.00,0,0.00,0,0.00,38,87.00
2016,3,5,10,5,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,1,0.00
2016,3,7,17,0,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,1,0.00
2016,3,8,20,1,0,0.00,0,0.00,1,1.00,0,0.00,0,0.00,1,1.00
2016,3,9,2,2,0,0.00,0,0.00,1,1.00,0,0.00,0,0.00,1,1.00
2016,3,9,8,2,0,0.00,0,0.00,5,12.00,0,0.00,0,0.00,5,12.00
2016,3,9,9,2,0,0.00,0,0.00,3,9.00,0,0.00,0,0.00,3,9.00
2016,3,9,10,2,0,0.00,0,0.00,1,3.00,0,0.00,0,0.00,1,3.00
2016,3,9,11,2,0,0.00,0,0.00,4,7.00,0,0.00,0,0.00,4,7.00
2016,3,9,12,2,0,0.00,0,0.00,22,42.00,0,0.00,0,0.00,22,42.00
2016,3,9,13,2,0,0.00,0,0.00,16,28.00,0,0.00,0,0.00,16,28.00
2016,3,9,18,2,0,0.00,0,0.00,206,337.00,0,0.00,0,0.00,206,337.00
2016,3,10,10,3,0,0.00,0,0.00,82,111.00,0,0.00,0,0.00,82,111.00
2016,3,10,11,3,0,0.00,0,0.00,150,280.00,0,0.00,0,0.00,150,280.00
2016,3,10,12,3,0,0.00,0,0.00,109,216.00,0,0.00,0,0.00,109,216.00
2016,3,10,13,3,0,0.00,0,0.00,124,241.00,0,0.00,0,0.00,124,241.00
2016,3,10,14,3,0,0.00,0,0.00,242,463.00,0,0.00,0,0.00,242,463.00
2016,3,10,15,3,0,0.00,0,0.00,469,912.00,0,0.00,0,0.00,469,912.00
2016,3,10,16,3,0,0.00,0,0.00,420,873.00,0,0.00,0,0.00,420,873.00
2016,3,10,17,3,0,0.00,0,0.00,101,212.00,0,0.00,0,0.00,101,212.00
2016,3,10,18,3,0,0.00,0,0.00,66,120.00,0,0.00,0,0.00,66,120.00
2016,3,11,9,4,0,0.00,0,0.00,8,17.00,0,0.00,0,0.00,8,17.00
2016,3,11,10,4,0,0.00,0,0.00,539,1248.00,0,0.00,0,0.00,539,1248.00
2016,3,11,11,4,0,0.00,0,0.00,381,932.00,0,0.00,0,0.00,381,932.00
2016,3,11,12,4,0,0.00,0,0.00,225,610.00,0,0.00,0,0.00,225,610.00
2016,3,11,13,4,0,0.00,0,0.00,131,372.00,0,0.00,0,0.00,131,372.00
2016,3,11,14,4,0,0.00,0,0.00,362,849.00,0,0.00,0,0.00,362,849.00
2016,3,11,15,4,0,0.00,0,0.00,389,1021.00,0,0.00,0,0.00,389,1021.00
2016,3,11,16,4,0,0.00,0,0.00,380,966.00,0,0.00,0,0.00,380,966.00
2016,3,11,17,4,0,0.00,0,0.00,130,284.00,0,0.00,0,0.00,130,284.00
2016,3,11,18,4,0,0.00,0,0.00,1,1.00,0,0.00,0,0.00,1,1.00
2016,3,12,9,5,0,0.00,0,0.00,139,389.00,0,0.00,0,0.00,139,389.00
2016,3,12,10,5,0,0.00,0,0.00,208,496.00,0,0.00,0,0.00,208,496.00
2016,3,12,11,5,0,0.00,0,0.00,717,1874.00,0,0.00,0,0.00,717,1874.00
2016,3,12,12,5,0,0.00,0,0.00,377,959.00,0,0.00,0,0.00,377,959.00
2016,3,14,9,0,0,0.00,15,32.00,172,294.00,0,0.00,0,0.00,187,326.00
2016,3,14,10,0,0,0.00,24,27.00,340,501.00,0,0.00,0,0.00,364,528.00
2016,3,14,11,0,0,0.00,37,42.00,369,520.00,0,0.00,0,0.00,406,562.00
2016,3,14,12,0,0,0.00,15,15.00,193,267.00,0,0.00,0,0.00,208,282.00
2016,3,14,13,0,0,0.00,7,7.00,157,219.00,0,0.00,0,0.00,164,226.00
2016,3,14,14,0,0,0.00,33,40.00,303,441.00,0,0.00,0,0.00,336,481.00
2016,3,14,15,0,0,0.00,48,57.00,376,544.00,0,0.00,0,0.00,424,601.00
2016,3,14,16,0,0,0.00,45,51.00,361,500.00,0,0.00,0,0.00,406,551.00
